City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,jamestown,42.097,-79.2353,279.95,61,0,2.57,US,1712454521
136,ulety,51.3572,112.4849,276.13,30,20,3.02,RU,1712454750
137,gersthofen,48.4167,10.8833,286.69,62,100,3.09,DE,1712454750
138,laguna,38.421,-121.4238,288.23,45,0,3.09,US,1712454588
139,gulf shores,30.246,-87.7008,291.52,79,0,0.0,US,1712454651
140,new norfolk,-42.7826,147.0587,289.22,95,100,0.55,AU,1712454750
141,san patricio,28.017,-97.5169,296.39,83,100,7.76,US,1712454645
142,barra do garcas,-15.89,-52.2567,296.56,85,74,0.43,BR,1712454751
143,safotu,-13.4513,-172.4018,302.17,79,76,2.93,WS,1712454751
144,iskateley,67.6803,53.1512,267.05,94,100,6.71,RU,1712454608
145,kavieng,-2.5744,150.7967,300.57,83,100,5.68,PG,1712454680
146,wailua homesteads,22.0669,-159.378,301.39,76,75,10.8,US,1712454570
147,prado,-17.3411,-39.2208,296.9,74,4,4.1,BR,1712454676
148,stanovoye,52.7638,38.3582,278.85,85,85,0.4,RU,1712454752
149,as sulayyil,20.4607,45.5779,297.29,29,19,4.37,SA,1712454752
150,magadan,59.5667,150.8,270.06,81,30,1.92,RU,1712454582
151,carnarvon,-24.8667,113.6333,299.11,56,0,7.55,AU,1712454570
152,grand island,40.925,-98.342,288.31,72,75,6.17,US,1712454753
153,puerto baquerizo moreno,-0.9,-89.6,297.85,86,37,2.64,EC,1712454753
154,vorkuta,67.5,64.0,265.99,91,100,7.6,RU,1712454753
155,neiafu,-18.65,-173.9833,300.53,89,75,3.6,TO,1712454753
156,atvidaberg,58.2015,15.9977,279.03,91,100,5.42,SE,1712454754
157,san antonio de pale,-1.4014,5.6325,301.48,80,87,2.5,GQ,1712454599
158,bredasdorp,-34.5322,20.0403,289.71,81,93,10.81,ZA,1712454576
159,shiprock,36.7855,-108.687,282.34,25,98,9.02,US,1712454755
160,gizo,-8.103,156.8419,300.42,83,99,7.18,SB,1712454755
161,trujillo,-8.116,-79.03,294.13,88,75,5.66,PE,1712454702
162,chake chake,-5.2459,39.7666,299.14,90,93,4.81,TZ,1712454755
163,tuscaloosa,33.2098,-87.5692,285.03,70,0,1.54,US,1712454458
164,arawa,-6.2132,155.5367,299.01,95,100,2.39,PG,1712454755
165,queenstown,-31.8976,26.8753,284.86,92,100,7.22,ZA,1712454578
166,sarangani,5.4033,125.4636,300.74,80,80,12.48,PH,1712454756
167,dakhla,23.6848,-15.958,292.16,94,75,4.63,EH,1712454756
168,ta`u,-14.2336,-169.5144,302.04,72,62,2.5,AS,1712454642
169,ribeira grande,38.5167,-28.7,290.25,95,100,11.62,PT,1712454577
170,hawaiian paradise park,19.5933,-154.9731,298.08,79,75,3.6,US,1712454575
171,astaneh-ye ashrafiyeh,37.2596,49.9444,284.37,76,100,1.94,IR,1712454757
172,port alfred,-33.5906,26.891,292.4,73,100,11.34,ZA,1712454611
173,puerto quijarro,-17.7833,-57.7667,300.91,67,54,0.74,BO,1712454758
174,pitkyaranta,61.5734,31.4792,262.88,96,96,1.72,RU,1712454758
175,coxen hole,16.3244,-86.5366,299.75,83,40,6.69,HN,1712454758
176,luderitz,-26.6481,15.1594,286.28,88,0,2.63,NA,1712454623
177,yamazakicho-nakabirose,35.0,134.55,290.56,60,100,1.48,JP,1712454758
178,namdrik,5.5994,168.1028,301.41,82,87,9.46,MH,1712454759
179,chinde,26.8418,88.0763,296.59,23,100,1.31,NP,1712454572
180,el nido,11.1858,119.3956,302.77,67,90,6.22,PH,1712454759
181,huayucachi,-12.1333,-75.2333,284.28,88,92,1.44,PE,1712454759
182,isfahan,32.6572,51.6776,282.95,33,100,2.09,IR,1712454759
183,fort mcmurray,56.7268,-111.381,275.92,87,100,2.57,CA,1712454629
184,kailua-kona,19.6406,-155.9956,300.13,77,40,6.69,US,1712454753
185,ushuaia,-54.8,-68.3,273.96,75,0,1.03,AR,1712454581
186,ust-tsilma,65.441,52.1498,268.49,94,100,4.92,RU,1712454760
187,avarua,-21.2078,-159.775,301.18,78,75,1.54,CK,1712454581
188,taourirt,34.4073,-2.8973,299.99,12,90,10.5,MA,1712454761
189,kalmunai,7.4167,81.8167,300.6,80,100,1.97,LK,1712454628
190,rudnya,54.947,31.0934,279.68,96,97,2.21,RU,1712454761
191,zhicheng,30.2956,111.5047,288.39,84,100,0.72,CN,1712454761
192,harpswell center,43.8018,-69.9842,277.16,84,100,2.24,US,1712454761
193,morogoro,-6.8167,37.6667,294.14,95,99,0.53,TZ,1712454762
194,saldanha,-33.0117,17.9442,292.18,82,78,6.6,ZA,1712454762
195,ishigaki,24.3448,124.1572,297.22,100,75,1.54,JP,1712454762
196,port mathurin,-19.6833,63.4167,299.86,83,42,7.61,MU,1712454638
197,saint-philippe,-21.3585,55.7679,297.92,86,13,1.53,RE,1712454635
198,alofi,-19.0595,-169.9187,301.09,74,40,6.69,NU,1712454646
199,taro,-8.3862,115.28,299.18,56,24,1.14,ID,1712454763
200,parabel',58.6978,81.4825,264.77,69,6,7.15,RU,1712454763
201,lecheng,25.1238,113.3254,291.75,97,100,1.52,CN,1712454763
202,lagoa,39.05,-27.9833,289.02,87,100,14.8,PT,1712454763
203,cidreira,-30.1811,-50.2056,295.09,66,100,8.53,BR,1712454763
204,harstad,68.799,16.5293,269.35,79,52,2.68,NO,1712454764
205,creston,41.0586,-94.3614,285.0,43,0,11.83,US,1712454764
206,sao joao da barra,-21.6403,-41.0511,295.41,85,3,2.8,BR,1712454618
207,tazovsky,67.4667,78.7,262.94,80,32,8.16,RU,1712454633
208,kirensk,57.7853,108.1119,265.91,82,29,0.89,RU,1712454764
209,bokani,9.4333,5.2,300.62,67,100,3.02,NG,1712454765
210,kamiiso,41.8167,140.65,285.36,66,0,2.57,JP,1712454765
211,dhidhdhoo,6.8833,73.1,301.99,74,98,4.04,MV,1712454662
212,bowie,33.4501,-94.4335,298.19,51,27,6.34,US,1712454752
213,berdigestyakh,62.0989,126.6992,261.9,88,100,4.17,RU,1712454766
214,vilyuchinsk,52.9306,158.4028,280.3,85,88,1.29,RU,1712454593
215,palmer,42.1584,-72.3287,278.63,66,0,5.14,US,1712454584
216,mukalla,14.5425,49.1242,298.92,71,25,2.46,YE,1712454766
217,kirakira,-10.4544,161.9205,301.77,79,100,3.46,SB,1712454767
218,yuzhno-kurilsk,44.0306,145.8556,275.58,88,100,6.83,RU,1712454654
219,utrik,11.2278,169.8474,300.18,75,100,8.72,MH,1712454587
220,hameenkyro,61.6391,23.1953,271.66,95,98,2.47,FI,1712454767
221,newman,37.3138,-121.0208,290.28,60,74,1.79,US,1712454575
222,buyeo,36.2819,126.9125,290.05,33,57,2.18,KR,1712454768
223,fallsburg,41.732,-74.6013,278.61,72,4,3.2,US,1712454627
224,haiku-pauwela,20.9219,-156.3051,297.72,86,100,8.75,US,1712454629
225,jiuquan,39.7432,98.5174,286.28,25,52,1.15,CN,1712454673
226,scottburgh,-30.2867,30.7532,292.67,85,100,3.18,ZA,1712454768
227,nova vicosa,-17.8919,-39.3719,298.19,63,1,4.61,BR,1712454768
228,trincomalee,8.5711,81.2335,299.89,87,100,3.72,LK,1712454632
229,flying fish cove,-10.4217,105.6791,300.97,89,100,3.09,CX,1712454488
230,levuka,50.1834,-105.4011,283.05,53,91,2.22,CA,1712454769
231,elliot lake,46.3834,-82.6331,274.17,87,7,2.21,CA,1712454727
232,hanting,36.7708,119.2108,295.83,39,99,1.89,CN,1712454769
233,baharly,38.4362,57.4316,290.07,40,91,3.33,TM,1712454770
234,dickinson,29.4608,-95.0513,296.57,83,100,6.17,US,1712454622
235,yangjiang,21.85,111.9667,300.86,70,89,4.61,CN,1712454770
236,adrar,20.5022,-10.0711,299.96,17,0,4.76,MR,1712454770
237,east london,-33.0153,27.9116,292.12,72,100,8.1,ZA,1712454638
238,tadine,-21.55,167.8833,299.55,65,100,5.63,NC,1712454771
239,masterton,-40.9597,175.6575,290.43,42,2,2.18,NZ,1712454602
240,zhenjiang,32.2092,119.4342,290.26,71,100,3.86,CN,1712454771
241,bagdogra,26.7,88.3167,302.36,25,99,2.1,IN,1712454772
242,yangshuo,24.7808,110.4897,288.87,95,100,1.64,CN,1712454625
